,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_2p,NBA_2pa,NBA_2pp,NBA_3p,NBA_3pa,NBA_3pp,NBA_ast,NBA_blk,NBA_drb,NBA_fg,NBA_fga,NBA_fgp,NBA_ft,NBA_fta,NBA_ftp,NBA_g,NBA_mp,NBA_orb,NBA_pts,NBA_stl,NBA_tov,NBA_trb,NCAA_2p,NCAA_2pa,NCAA_2pp,NCAA_3p,NCAA_3pa,NCAA_3pp,NCAA_ast,NCAA_blk,NCAA_drb,NCAA_fg,NCAA_fga,NCAA_fgp,NCAA_ft,NCAA_fta,NCAA_ftp,NCAA_g,NCAA_mp,NCAA_orb,NCAA_pts,NCAA_stl,NCAA_tov,NCAA_trb
1204,/players/e/edwarbi01.html,Bill Edwards,1994,1994,F,Wright State University,6-8,215,"September 22, 1971",,,,,,,,,,,,,,,,,,,,,,,6.5,11.9,.547,1.1,2.9,.361,1.7,0.7,,7.6,14.8,.510,4.0,5.4,.741,114,31.9,,20.2,1.4,,8.0
1205,/players/e/edwarbl01.html,Blue Edwards,1990,1999,G-F,East Carolina University,6-4,200,"October 31, 1965",3.8,7.1,.541,0.1,0.4,.250,1.7,0.5,2.4,3.9,7.5,.526,1.3,1.9,.701,62,26.0,0.8,9.3,0.9,1.7,3.2,7.7,13.8,.561,0.5,1.0,.473,2.5,0.5,,8.2,14.7,.555,3.8,5.1,.750,57,32.7,,20.6,1.5,2.9,6.3
1206,/players/e/edwarca01.html,Carsen Edwards,2020,2021,G,Purdue,5-11,200,"March 12, 1998",0.9,1.5,.604,0.6,2.0,.286,0.5,0.0,0.7,1.5,3.6,.423,0.4,0.4,.846,31,8.9,0.1,4.0,0.2,0.2,0.8,3.3,7.2,.455,2.6,7.1,.368,2.5,0.2,3.0,5.9,14.2,.412,3.4,4.2,.817,108,29.4,0.4,17.8,1.2,2.2,3.4
1207,/players/e/edwarco01.html,Corsley Edwards,2005,2005,F,Central Connecticut State University,6-9,275,"March 5, 1979",,,,,,,,,,,,,,,,,,,,,,,5.3,10.4,.510,0.0,0.0,.000,0.8,1.6,,5.3,10.4,.509,3.5,5.0,.688,123,27.6,,14.1,0.9,2.1,7.9
1208,/players/e/edwardo01.html,Doug Edwards,1994,1996,F,Florida State,6-7,220,"January 21, 1971",0.6,1.2,.468,0.0,0.0,.000,0.3,0.1,0.8,0.6,1.3,.458,0.6,0.8,.719,38,5.6,0.5,1.8,0.1,0.6,1.3,6.4,11.6,.547,0.3,1.2,.263,2.5,1.3,,6.7,12.8,.520,3.6,4.9,.725,93,34.5,,17.2,1.3,2.8,8.5
1209,/players/e/edwarfr01.html,Franklin Edwards,1982,1988,G,Cleveland State University,6-1,170,"February 2, 1959",2.8,5.9,.480,0.0,0.1,.000,2.7,0.1,0.8,2.8,6.0,.472,1.1,1.4,.761,81,15.6,0.3,6.7,1.0,1.4,1.0,,,,,,,,,,8.9,17.7,.501,4.1,5.1,.813,102,37.2,,21.9,,,
1210,/players/e/edwarja01.html,James Edwards,1978,1996,C-F,Washington,7-0,225,"November 22, 1955",5.8,12.6,.459,,,,1.2,1.1,5.4,5.8,12.6,.459,3.2,5.0,.640,25,28.9,1.8,14.8,0.6,2.3,7.2,,,,,,,,,,5.9,11.5,.509,,,,106,29.7,,14.6,,,
1211,/players/e/edwarja02.html,Jay Edwards,1990,1990,G,Indiana,6-4,185,"January 3, 1969",,,,,,,,,,,,,,,,,,,,,,,3.4,7.5,.454,2.5,5.1,.481,3.5,0.6,,5.8,12.6,.465,4.1,4.8,.847,57,30.2,,18.2,1.0,2.6,3.5
1212,/players/e/edwarjo01.html,John Edwards,2005,2006,C,Kent State University,7-0,275,"July 31, 1981",0.8,1.6,.484,0.0,0.0,,0.1,0.4,0.8,0.8,1.6,.484,0.2,0.3,.727,40,7.4,0.5,1.8,0.1,0.3,1.2,2.5,4.6,.556,0.0,0.0,,0.2,1.4,2.3,2.5,4.6,.556,1.2,1.9,.653,128,15.1,1.1,6.3,0.2,0.9,3.4
1213,/players/e/edwarke01.html,Kevin Edwards,1989,2001,G,DePaul,6-3,190,"October 30, 1965",4.9,11.9,.416,0.1,0.4,.300,3.2,0.4,2.6,5.1,12.3,.412,1.8,2.3,.760,78,28.3,1.0,12.0,1.6,2.3,3.6,6.0,10.9,.547,0.7,1.5,.446,3.5,0.4,,6.6,12.4,.534,2.4,3.0,.793,61,33.8,,16.3,2.2,1.9,5.1
